"filename", "language", "C#", "Markdown", "XML", "JSON", "comment", "blank", "total"
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\AdjuntosController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\AsistenciaScoutController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\AutoresController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\AvisoPagoController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\CategoriaController.cs", "C#", 32, 0, 0, 0, 0, 7, 39
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\ComentarioController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\FechaController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\LibroAutorController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\LibroCategoriaController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\LibroController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\NombreScoutController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\NoticiaController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\ProgresionController.cs", "C#", 32, 0, 0, 0, 0, 6, 38
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\ProgresionScoutController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\RamaController.cs", "C#", 32, 0, 0, 0, 0, 7, 39
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\RolesController.cs", "C#", 32, 0, 0, 0, 0, 7, 39
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\RolesUsuarioController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\ScoutController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\TipoAdjuntoController.cs", "C#", 32, 0, 0, 0, 0, 7, 39
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\TipoNombreController.cs", "C#", 32, 0, 0, 0, 0, 7, 39
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\UnidadController.cs", "C#", 32, 0, 0, 0, 0, 8, 40
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\UsuarioController.cs", "C#", 39, 0, 0, 0, 0, 11, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\PaginaGrupo.Api.csproj", "XML", 0, 0, 21, 0, 0, 5, 26
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Program.cs", "C#", 59, 0, 0, 0, 9, 19, 87
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Properties\launchSettings.json", "JSON", 0, 0, 0, 31, 0, 1, 32
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 1, 9
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\appsettings.json", "JSON", 0, 0, 0, 12, 1, 2, 15
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\AdjuntosDto.cs", "C#", 7, 0, 0, 0, 0, 5, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\AsistenciaScoutDto.cs", "C#", 9, 0, 0, 0, 0, 7, 16
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\AutoresDto.cs", "C#", 6, 0, 0, 0, 0, 4, 10
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\AvisoPagoDto.cs", "C#", 10, 0, 0, 0, 0, 8, 18
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\CategoriaDto.cs", "C#", 6, 0, 0, 0, 0, 3, 9
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\ComentarioDto.cs", "C#", 9, 0, 0, 0, 0, 6, 15
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\FechaDto.cs", "C#", 7, 0, 0, 0, 0, 5, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\HistoricoUsuarioDto.cs", "C#", 8, 0, 0, 0, 0, 6, 14
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\LibroAutorDto.cs", "C#", 7, 0, 0, 0, 0, 5, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\LibroCategoriaDto.cs", "C#", 7, 0, 0, 0, 0, 4, 11
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\LibroDto.cs", "C#", 12, 0, 0, 0, 0, 10, 22
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\NombreScoutDto.cs", "C#", 10, 0, 0, 0, 0, 7, 17
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\NoticiaDto.cs", "C#", 16, 0, 0, 0, 0, 10, 26
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\ProgresionDto.cs", "C#", 10, 0, 0, 0, 0, 8, 18
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\ProgresionScoutDto.cs", "C#", 8, 0, 0, 0, 0, 5, 13
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\RamaDto.cs", "C#", 8, 0, 0, 0, 0, 6, 14
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\RolesDto.cs", "C#", 7, 0, 0, 0, 0, 4, 11
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\RolesUsuarioDto.cs", "C#", 7, 0, 0, 0, 0, 5, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\ScoutDto.cs", "C#", 15, 0, 0, 0, 0, 12, 27
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\TipoAdjuntoDto.cs", "C#", 6, 0, 0, 0, 0, 3, 9
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\TipoNombreDto.cs", "C#", 6, 0, 0, 0, 0, 4, 10
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\UnidadDto.cs", "C#", 7, 0, 0, 0, 0, 3, 10
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\UsuarioDto.cs", "C#", 10, 0, 0, 0, 0, 7, 17
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Adjuntos.cs", "C#", 8, 0, 0, 0, 0, 5, 13
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\AsistenciaScout.cs", "C#", 12, 0, 0, 0, 0, 9, 21
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Autores.cs", "C#", 7, 0, 0, 0, 0, 4, 11
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\AvisoPago.cs", "C#", 11, 0, 0, 0, 0, 8, 19
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Categoria.cs", "C#", 7, 0, 0, 0, 0, 4, 11
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Comentario.cs", "C#", 11, 0, 0, 0, 0, 8, 19
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Fecha.cs", "C#", 8, 0, 0, 0, 0, 5, 13
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\HistoricoUsuario.cs", "C#", 9, 0, 0, 0, 0, 6, 15
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Libro.cs", "C#", 14, 0, 0, 0, 0, 11, 25
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\LibroAutor.cs", "C#", 9, 0, 0, 0, 0, 6, 15
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\LibroCategoria.cs", "C#", 9, 0, 0, 0, 0, 6, 15
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\NombreScout.cs", "C#", 13, 0, 0, 0, 0, 10, 23
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Noticias.cs", "C#", 18, 0, 0, 0, 0, 15, 33
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Progresion.cs", "C#", 12, 0, 0, 0, 0, 9, 21
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\ProgresionScout.cs", "C#", 10, 0, 0, 0, 0, 7, 17
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Rama.cs", "C#", 10, 0, 0, 0, 0, 7, 17
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Roles.cs", "C#", 8, 0, 0, 0, 0, 5, 13
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\RolesUsuario.cs", "C#", 9, 0, 0, 0, 0, 6, 15
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Scout.cs", "C#", 19, 0, 0, 0, 0, 16, 35
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\TipoAdjunto.cs", "C#", 6, 0, 0, 0, 0, 3, 9
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\TipoNombre.cs", "C#", 7, 0, 0, 0, 0, 4, 11
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Unidad.cs", "C#", 11, 0, 0, 0, 0, 8, 19
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Usuario.cs", "C#", 15, 0, 0, 0, 0, 12, 27
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IAdjuntosRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IAsistenciaScoutRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IAutoresRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IAvisoPagoRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\ICategoriaRepository.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IComentarioRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
